Name,Type,Address,Description
"Acomodacao","Casa","6 Bd Beaumarchais, 75011 Paris, France","Base de operacoes da viagem"
"Notre-Dame","Atracao","Parvis Notre-Dame - Place Jean-Paul II, 75004 Paris, France","Catedral reinaugurada em dez/2024 - interior deslumbrante; entrada livre"
"Sainte-Chapelle","Atracao","8 Bd du Palais, 75001 Paris, France","Vitrais deslumbrantes; mesma ilha de Notre-Dame; ~45 min com fila"
"Place des Vosges","Atracao","Place des Vosges, 75004 Paris, France","Praca mais antiga de Paris; no caminho de volta pelo Marais"
"Le Louis Philippe","Comida","66 Quai de l'Hotel de Ville, 75004 Paris, France","Bistro classico de frente pro Sena perto de Notre-Dame; EUR10-50"
"Cafe Hugo","Comida","22 Place des Vosges, 75004 Paris, France","Cafe na propria praca; croque monsieur e sopa de cebola; EUR20-30"
"Cafe Carette","Comida","25 Place des Vosges, 75004 Paris, France","Salao de cha parisiense classico, tambem na praca; EUR10-30"
"Chez Janou","Comida","2 Rue Roger Verlomme, 75003 Paris, France","Bistro provencal; famoso pela mousse de chocolate; EUR20-60"
"Vins des Pyrenees","Comida","25 Rue Beautreillis, 75004 Paris, France","Reserva feita para as 20h - classicos de bistro; bar de coqueteis em cima; EUR30-80"
"Marche des Enfants Rouges","Comida","39 Rue de Bretagne, 75003 Paris, France","Mercado coberto mais antigo de Paris; prove a Lulu Creperie, banca dentro do mercado"
"Scoop Me a Cookie","Comida","38 Rue de Bretagne, 75003 Paris, France","Bem ao lado do Marche des Enfants Rouges; cookies americanos generosos"
